No. of Pixels,Height,Width,Optimization Success,Result,Execution Time,Layers,Min-Cut Cost,Optimization Cost,Iterations,Optimizer Method,Seed,Exact Min-Cut Value,Relative Error
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.284564,3,0.0,0.0,22,SLSQP,222,-6.13,1.0
64,8,8,True,1101110001010111111111111111100111111111010011111101111110101111,50.847407,4,16.89,-30.7609,487,SLSQP,222,-6.13,3.755301794453507
64,8,8,True,1011000101110110110000011110000011100111001011110100001101000101,65.622247,5,20.31,-3.7698,622,SLSQP,222,-6.13,4.31321370309951
4,2,2,True,0000,2.230115,1,0.0,0.0053,34,COBYLA,333,-1.16,1.0
4,2,2,True,1101,4.617721,2,-0.66,-2.1927,69,COBYLA,333,-1.16,0.4310344827586206
4,2,2,True,1100,8.630666,3,-1.16,-3.1196,111,COBYLA,333,-1.16,0.0
4,2,2,True,1100,9.53873,4,-1.16,-3.1134,139,COBYLA,333,-1.16,0.0
4,2,2,True,1100,13.640651,5,-1.16,-3.1063,201,COBYLA,333,-1.16,0.0
4,2,2,True,1111,15.900158,1,0.0,-0.3202,244,Powell,333,-1.16,1.0
4,2,2,True,1100,17.143325,2,-1.16,-3.1198,258,Powell,333,-1.16,0.0
4,2,2,True,1100,36.003175,3,-1.16,-3.119,500,Powell,333,-1.16,0.0
4,2,2,True,1100,55.017336,4,-1.16,-3.12,814,Powell,333,-1.16,0.0
4,2,2,True,1100,111.698304,5,-1.16,-3.1188,1644,Powell,333,-1.16,0.0
4,2,2,False,0000,6.480659,1,0.0,0.0046,103,CG,333,-1.16,1.0
4,2,2,False,0111,12.331762,2,-0.05,-0.1758,186,CG,333,-1.16,0.9568965517241379
4,2,2,False,1011,18.000052,3,0.85,0.3039,250,CG,333,-1.16,1.732758620689655
4,2,2,False,1100,24.583535,4,-1.16,-1.0063,363,CG,333,-1.16,0.0
4,2,2,False,1000,27.816589,5,-0.05,0.7941,410,CG,333,-1.16,0.9568965517241379
4,2,2,False,0000,6.273896,1,0.0,0.0047,98,BFGS,333,-1.16,1.0
4,2,2,False,0111,10.050241,2,-0.05,-0.1638,151,BFGS,333,-1.16,0.9568965517241379
4,2,2,False,1011,19.450196,3,0.85,0.2923,252,BFGS,333,-1.16,1.732758620689655
4,2,2,False,1100,27.650709,4,-1.16,-1.0126,407,BFGS,333,-1.16,0.0
4,2,2,False,1000,26.914252,5,-0.05,0.7925,395,BFGS,333,-1.16,0.9568965517241379
4,2,2,True,0000,2.86657,1,0.0,0.0054,44,L-BFGS-B,333,-1.16,1.0
4,2,2,True,0111,14.416678,2,-0.05,-0.1449,217,L-BFGS-B,333,-1.16,0.9568965517241379
4,2,2,True,1011,17.599909,3,0.85,0.3179,230,L-BFGS-B,333,-1.16,1.732758620689655
4,2,2,True,1100,20.23377,4,-1.16,-0.9985,299,L-BFGS-B,333,-1.16,0.0
4,2,2,True,1000,27.066841,5,-0.05,0.8152,400,L-BFGS-B,333,-1.16,0.9568965517241379
4,2,2,True,1111,7.583214,1,0.0,100000.0,116,SLSQP,333,-1.16,1.0
4,2,2,True,1111,88.800536,2,0.0,-0.0446,562,SLSQP,333,-1.16,1.0
4,2,2,True,1111,52.167876,3,0.0,-0.155,781,SLSQP,333,-1.16,1.0
4,2,2,True,1100,19.914334,4,-1.16,-1.7287,295,SLSQP,333,-1.16,0.0
4,2,2,True,0001,102.264791,5,0.24,0.2335,1509,SLSQP,333,-1.16,1.206896551724138
16,4,4,True,1111111111111111,4.889051,1,0.0,-21.6814,58,COBYLA,333,-3.57,1.0
16,4,4,True,1111111110111111,9.727172,2,-3.05,-24.8881,115,COBYLA,333,-3.57,0.14565826330532214
16,4,4,True,1111111111111111,13.019151,3,0.0,-19.0641,153,COBYLA,333,-3.57,1.0
16,4,4,True,1111111100111100,17.464279,4,1.68,-16.8617,203,COBYLA,333,-3.57,1.4705882352941178
16,4,4,True,0011111110111111,22.269606,5,-3.54,-27.762,258,COBYLA,333,-3.57,0.008403361344537761
16,4,4,False,0000000000000000,1.397254,1,0.0,0.0,16,Powell,333,-3.57,1.0
16,4,4,True,1111111110111111,92.819377,2,-3.05,-30.7597,1100,Powell,333,-3.57,0.14565826330532214
16,4,4,True,1011111111111111,150.150535,3,-0.52,-22.8259,1762,Powell,333,-3.57,0.8543417366946778
16,4,4,True,1011111110111111,222.967803,4,-3.57,-29.6294,2603,Powell,333,-3.57,0.0
16,4,4,True,1011111110111111,151.007736,5,-3.57,-29.9634,1781,Powell,333,-3.57,0.0
16,4,4,False,0000000000000000,0.517049,1,0.0,0.0,6,CG,333,-3.57,1.0
16,4,4,False,1111111100000000,23.283566,2,1.9,-3.3652,275,CG,333,-3.57,1.5322128851540617
16,4,4,False,1111000010100000,29.581996,3,5.25,2.7267,348,CG,333,-3.57,2.4705882352941178
16,4,4,False,0100101110111000,26.083206,4,4.32,-7.0583,305,CG,333,-3.57,2.2100840336134455
16,4,4,False,1110011110111010,47.950523,5,4.15,-6.461,558,CG,333,-3.57,2.162464985994398
16,4,4,False,0000000000000000,0.533466,1,0.0,0.0,6,BFGS,333,-3.57,1.0
16,4,4,False,1111111100000000,11.09141,2,1.9,-2.9887,132,BFGS,333,-3.57,1.5322128851540617
16,4,4,False,1111000010100000,25.533367,3,5.25,2.6449,300,BFGS,333,-3.57,2.4705882352941178
16,4,4,False,0100101110111000,47.60009,4,4.32,-7.1907,558,BFGS,333,-3.57,2.2100840336134455
16,4,4,False,1110011110111000,65.633787,5,3.37,-6.432,765,BFGS,333,-3.57,1.9439775910364145
16,4,4,False,0000000000000000,0.532487,1,0.0,0.0,6,L-BFGS-B,333,-3.57,1.0
16,4,4,True,1111111100000000,18.651174,2,1.9,-2.7723,220,L-BFGS-B,333,-3.57,1.5322128851540617
16,4,4,True,1111000010100000,35.347152,3,5.25,2.7338,416,L-BFGS-B,333,-3.57,2.4705882352941178
16,4,4,False,0100101110111100,37.670866,4,3.73,-6.3569,441,L-BFGS-B,333,-3.57,2.044817927170868
